B,method,p,mean_alpha,repetition,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,immediately,0.6,0.5020833333333333,1,0.603347397828391,0.012500218326888433,0.5821256038647343,0.6276041666666666,0.5990735678026994,0.010002756616413153,0.5826555433510128,0.6149147352715254,20
240,immediately,0.6,0.5020833333333333,11,0.6104348312401064,0.002919243045322997,0.6055276381909548,0.6170856610800745,0.611542694860159,0.0028713380333407874,0.6074074865356417,0.616987237854689,20
240,immediately,0.6,0.5020833333333333,21,0.6106163416144659,0.0026932811034158515,0.6055276381909548,0.6153939688715954,0.6110557889485676,0.0019903784784372873,0.6085163597896535,0.6151817549479928,20
240,immediately,0.6,0.5020833333333333,31,0.6104251582668637,0.0016939595186308328,0.6082885523530369,0.614998353638459,0.6110159930225963,0.0018299287514563349,0.6079543320018292,0.6156777812183131,20
240,immediately,0.6,0.5020833333333333,41,0.610563260806731,0.0014171463748287338,0.6082112520004924,0.6131173988582775,0.6108493670775413,0.001472741266547475,0.6088974682377382,0.6149551336354839,20
240,immediately,0.6,0.5020833333333333,51,0.6110251380039428,0.0015629939337571017,0.6091287540886113,0.6156581847325185,0.6109256569602161,0.0012210682260751062,0.6091665795465624,0.613580552070284,20
240,immediately,0.6,0.5020833333333333,61,0.6109843153923621,0.001433636587828982,0.6085354747909595,0.6135642737896494,0.611000376268943,0.0010833616045640426,0.6093693630716336,0.6133519969022181,20
240,immediately,0.6,0.5020833333333333,71,0.6112721231370783,0.0014845005054484038,0.6081964882348759,0.6133414581690444,0.6110611176990223,0.0010532342440970788,0.6097490823034084,0.6132151451634784,20
240,immediately,0.6,0.5020833333333333,81,0.6113332096962925,0.0013613621438486791,0.6085479144585074,0.6132893496701225,0.6111545242135579,0.0010173126207221907,0.6096612952321677,0.6131560171520951,20
240,immediately,0.6,0.5020833333333333,91,0.6110675411116511,0.0012828832870594498,0.6088899994447221,0.6134202282389797,0.6111824269104531,0.0009885016528768686,0.6094652493352157,0.612911699485714,20
240,immediately,0.6,0.5020833333333333,101,0.6109910248799272,0.0011925826232750093,0.6085554277713886,0.6130616562562966,0.6111767260015143,0.0009693260916967113,0.6092824701796753,0.6126568608217074,20
240,immediately,0.6,0.5020833333333333,111,0.6109312392437833,0.0011528195533123439,0.6081431299445303,0.6130769583352431,0.6111564167484729,0.0009686538469810382,0.6091461142580129,0.612573405295954,20
240,immediately,0.6,0.5020833333333333,121,0.6108742378609836,0.0008919971225684222,0.6083319425901201,0.6122401847575057,0.6111394298136716,0.0009403443862951133,0.6090790018030838,0.6125572727885253,20
240,immediately,0.6,0.5020833333333333,131,0.6109268697724504,0.000797559149336709,0.6091965112689102,0.6124107697082557,0.6111132261113765,0.0009037725763693684,0.609013537557914,0.6124894556647348,20
240,immediately,0.6,0.5020833333333333,141,0.6108063299568418,0.0007575089529388711,0.6096558900570527,0.6122702702702703,0.6110849229684306,0.0008626319610107076,0.6090586134368194,0.6124557857191745,20
240,immediately,0.6,0.5020833333333333,151,0.6108751878634192,0.000782014560645026,0.609217531054341,0.612210221728744,0.6110549634381783,0.0008225099185290185,0.6091120714864837,0.6124032592566799,20
240,immediately,0.6,0.5020833333333333,161,0.6109238147757126,0.0007421889664815044,0.6092930498413994,0.6121962764278952,0.611048374228576,0.0007869930003465764,0.6092093742357678,0.612351649618869,20
240,immediately,0.6,0.5020833333333333,171,0.6110104213300905,0.0007828427312431263,0.6097745028409091,0.611947612259444,0.611041910398106,0.0007563773445837439,0.6093012852916294,0.6122788293108234,20
240,immediately,0.6,0.5020833333333333,181,0.6110633453631568,0.0007498801674453845,0.6097428012300811,0.6120699332098558,0.6110501098187624,0.0007364885352668051,0.6093501134423336,0.6122294617247686,20
240,immediately,0.6,0.5020833333333333,191,0.6109628868154889,0.000610093205083751,0.609665969113401,0.6117564191164744,0.6110565829939345,0.0007019323745400901,0.6094461155158776,0.6121775542652771,20
240,immediately,0.6,0.5020833333333333,201,0.6109491088230026,0.0006685862341814829,0.6096735217861907,0.611829641043777,0.6110521920708415,0.0006734191162845127,0.609506190470108,0.6121434535910824,20
240,immediately,0.6,0.5020833333333333,211,0.6108856967301148,0.0005675503997938302,0.6095341979718553,0.6116015587414606,0.6110435693806242,0.000649795436936819,0.6095871779378724,0.6121019820189529,20
240,immediately,0.6,0.5020833333333333,221,0.6108309701935035,0.0005426036973915315,0.6097144950431578,0.6115065787962984,0.6110306661867707,0.0006210986072270905,0.6097142677419057,0.6120560833034924,20
240,immediately,0.6,0.5020833333333333,231,0.6108172090462848,0.0005375931650175901,0.6097456791746073,0.6118499142744098,0.6110211498104967,0.0005933652789364376,0.6098420778993321,0.61201574791774,20
240,immediately,0.6,0.5020833333333333,241,0.6107313812334609,0.000538689136874805,0.6098383032339353,0.6116493607700246,0.6110030047403167,0.0005715532295520554,0.6099281700087497,0.6119399414540612,20
240,immediately,0.6,0.5020833333333333,251,0.6107128585008474,0.0005556318433387027,0.6095916639793615,0.6117988551085219,0.610982601883779,0.0005544808821778127,0.609938469970176,0.6118538045390964,20
240,immediately,0.6,0.5020833333333333,261,0.6107646460720831,0.0006266812759524587,0.6096830473974992,0.6119607728679003,0.6109688039410441,0.0005377473314416548,0.6099408410399584,0.6117624505844463,20
240,immediately,0.6,0.5020833333333333,271,0.6107656056224539,0.0005985195510377021,0.609619728564228,0.611720959856134,0.6109552616864263,0.0005253005234406702,0.6099331325483528,0.6116930128593775,20
240,immediately,0.6,0.5020833333333333,281,0.6107984920893327,0.0005958968029904212,0.6097365530405344,0.6119625526377618,0.6109439588948087,0.0005131119348690986,0.609942238998755,0.6116637779974708,20
240,immediately,0.6,0.5020833333333333,291,0.6107859000931402,0.000517521285293223,0.6098135717018538,0.6118245424249298,0.6109365754460059,0.0005030675509931843,0.6099575801327999,0.6116457014295045,20
240,immediately,0.6,0.5020833333333333,301,0.610885422046835,0.0005484614322839272,0.6097829559018846,0.6116235540116691,0.6109315488416842,0.0004860766377843299,0.6099839649773445,0.6116000222927406,20
240,immediately,0.6,0.5020833333333333,311,0.6109874480367757,0.0005232289658268919,0.6099925125333681,0.6117949555138356,0.610933880288282,0.0004686402533913705,0.6100289444804674,0.6115714195296286,20
