B,r,alpha,p,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,1,0.004166666666666667,0.11,0.3447404031610053,0.002170748174540667,0.34125034125034126,0.3488940060009769,0.33918680240995347,0.0015813975652597147,0.33651516986099494,0.34160455225132863,19
240,1,0.004166666666666667,0.12,0.36306142290031185,0.0016750343094842457,0.359505320678746,0.36621987841500037,0.358490480857498,0.0010636694563955008,0.3559156763057449,0.36013591506980314,19
240,1,0.004166666666666667,0.13,0.3866082770635611,0.0019949815262441995,0.3817376698732631,0.38968124074507055,0.38483334054396606,0.0012882608361716324,0.38219559963383964,0.38702025713415306,19
240,1,0.004166666666666667,0.14,0.4005126818680661,0.0018924110010780572,0.39720368605020656,0.404236397445226,0.4002554885267703,0.0009703442517217345,0.39860934428459227,0.40191461451145005,19
240,1,0.004166666666666667,0.15,0.420446661948396,0.0017745965653232932,0.41708375041708373,0.42311923500042314,0.4219440778060328,0.0007792517656914154,0.4202412444640772,0.42331510909620507,19
240,1,0.004166666666666667,0.16,0.43336213291703524,0.0015913755056857974,0.4299965600275198,0.43584379358437936,0.43511612706007696,0.0009583556083227337,0.4330829431579755,0.4367232605535621,19
240,1,0.004166666666666667,0.16999999999999998,0.4471259308253459,0.0019658099340577576,0.4429090264859598,0.4509379509379509,0.4483161246151717,0.000904685480278695,0.446521372690286,0.4503667293105855,19
240,1,0.004166666666666667,0.18,0.46738267021095253,0.001660715094070393,0.464123271140815,0.47067683328626564,0.4675568964443447,0.0009955744740109496,0.4657454623568163,0.46974763439358497,19
240,1,0.004166666666666667,0.19,0.4800512646192087,0.0017418579494564695,0.47687172150691465,0.4840739665020815,0.48010527801930497,0.0008999546974614408,0.4788549477494109,0.48177886580903134,19
240,1,0.004166666666666667,0.2,0.49845809922913686,0.0017643853215894743,0.49455984174085066,0.5014039310068191,0.49826745031189484,0.0008291588964608876,0.497038087359834,0.5005134642177275,19
240,1,0.004166666666666667,0.21000000000000002,0.5092877717082568,0.001706846266319618,0.5048975058063213,0.5118755118755118,0.5097453122920208,0.000857887906779812,0.5087537389249027,0.5114311215945774,19
240,1,0.004166666666666667,0.22,0.5206305165736478,0.0012167778793727522,0.5182421227197347,0.5227938101212881,0.520700438263006,0.000702355285712536,0.5193024109337262,0.5221646990492613,19
240,1,0.004166666666666667,0.22999999999999998,0.5358846773603855,0.0018727775815228942,0.5328218243819267,0.5386770092652445,0.5363036726701627,0.0008690316463122407,0.5350640544740032,0.5380042838871371,19
240,1,0.004166666666666667,0.24,0.545767060166492,0.0019309541748067603,0.54271138608488,0.5489679402722881,0.546138155336684,0.0007578335765429518,0.5453031860275983,0.548000542135581,19
240,1,0.004166666666666667,0.25,0.5603292771901022,0.0018925932581581083,0.5570409982174688,0.5634437683119224,0.5601968146677034,0.0006943928081984792,0.5594260280924028,0.5616855346307884,19
240,1,0.004166666666666667,0.26,0.5695546829110665,0.0024879745775577495,0.5634437683119224,0.573921028466483,0.5692505210642765,0.0005493148563181171,0.5683103758025995,0.5704373269194798,19
240,1,0.004166666666666667,0.27,0.5775286563306369,0.0020647565088945715,0.5719514985129261,0.5807200929152149,0.5777098315856984,0.0006777653016191149,0.5766269778250849,0.5792396941719836,19
240,1,0.004166666666666667,0.28,0.5899067995948498,0.0028604200215456886,0.5815305885089556,0.5935422602089269,0.5901287086066883,0.00046480744906999606,0.5889277584949177,0.5909885384010771,19
240,1,0.004166666666666667,0.29,0.59756446468309,0.0028122546352144042,0.5922767116796968,0.6021194605009634,0.5978187924590873,0.0005765536295522807,0.5969603203908594,0.5989425262501509,19
240,1,0.004166666666666667,0.3,0.6081867422811422,0.002222877032183346,0.6049606775559588,0.6118453255017132,0.6087594192426578,0.0005093535425817169,0.607552055361327,0.6093314113484407,19
240,1,0.004166666666666667,0.31,0.6165014363691945,0.0026314926594585212,0.6129704548240775,0.620963735717834,0.6157442378073088,0.0004786442776439721,0.6148429743203659,0.616644990385323,19
240,1,0.004166666666666667,0.32,0.6215835856935011,0.0026114032179757017,0.6156877231867997,0.6260956674179815,0.6221419795526506,0.0005984529598273015,0.6207460888991045,0.6231927867230584,19
240,1,0.004166666666666667,0.33,0.6312609693163381,0.002678049600941738,0.6263309532757109,0.6368615462998344,0.6314865383848902,0.00041375293204008864,0.6306237442365595,0.6319615557613942,19
