B,method,p,mean_alpha,repetition,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,immediately,0.6,0.6,1,0.5549999999999999,0.051041778553404034,0.5,0.6,0.5516996047430831,0.04363441896517868,0.509090909090909,0.6086956521739131,20
240,immediately,0.6,0.6,10001,0.5676943221984802,0.0003969323751016263,0.5669715408745606,0.5686263361382761,0.5675013466309327,0.00038891282977493273,0.5666285279646582,0.5681514680987503,20
240,immediately,0.6,0.6,20001,0.5678589709626579,0.0003092930122810412,0.5671414663654666,0.5683232461000767,0.5677360249236422,0.00024388341114049854,0.5673385080154816,0.5683224400412533,20
240,immediately,0.6,0.6,30001,0.5678005194409128,0.00031063816062040594,0.5670480462695783,0.5683658133043686,0.5677839977471045,0.00023114607879952802,0.56736964579408,0.5683085931981049,20
240,immediately,0.6,0.6,40001,0.5678000437982613,0.00031276258405741155,0.5673310577623132,0.5683736394896133,0.5677876102726586,0.0002293265503314209,0.5674078151841657,0.5682415795404817,20
240,immediately,0.6,0.6,50001,0.5677077172121665,0.0002412778155472173,0.5671383903422045,0.5680425644715417,0.5677703565067962,0.00021574319157977454,0.5674199475350535,0.5681526613754331,20
240,immediately,0.6,0.6,60001,0.5676748390418014,0.00020026994086162818,0.5673638822172211,0.5680496340874592,0.5677478674736331,0.00019718918456048084,0.5674038575431426,0.5680938801134687,20
240,immediately,0.6,0.6,70001,0.5677107378393409,0.00015282142994875784,0.5674391835477413,0.5680408550786185,0.5677332221726,0.00017681393120654414,0.56741721733479,0.5680422781969702,20
240,immediately,0.6,0.6,80001,0.5677344663035286,0.0001594174962617699,0.5673655419573393,0.5681122575788778,0.5677302253147368,0.00016521044265672827,0.5674194455153122,0.5680214629136483,20
240,immediately,0.6,0.6,90001,0.5677418653036201,0.00013436786691852003,0.5675479677804497,0.5680255650739687,0.5677338351469532,0.00015569142240930484,0.5674245891659007,0.5680251421558843,20
240,immediately,0.6,0.6,100001,0.5677790605155411,0.0001295090995602305,0.5675597445249951,0.5680067705729995,0.5677402956999429,0.00014165647546197032,0.5674492557393118,0.5680221339648024,20
240,immediately,0.6,0.6,110001,0.5677370799398938,0.00016162843876671193,0.5674883708932702,0.568030501239328,0.5677416681292384,0.00012621219967837483,0.5674832982298349,0.5680074112243868,20
240,immediately,0.6,0.6,120001,0.5677217330651877,0.00015073513157602643,0.567508516497808,0.5680843408856361,0.567739967256379,0.00011933750782199702,0.5674955253328579,0.5680163442313678,20
240,immediately,0.6,0.6,130001,0.5677220825973159,0.00011325338169641502,0.5675486887543275,0.5680049634513464,0.567737452555557,0.00011413278388137909,0.5675010868164135,0.5680219759369122,20
240,immediately,0.6,0.6,140001,0.5677276154475546,0.00011513364454746053,0.5675654857785322,0.5680260424555861,0.5677365835672858,0.00010861128623428936,0.5675134355316445,0.5680213752956356,20
240,immediately,0.6,0.6,150001,0.5676977857995306,0.0001272162607216437,0.5675234953160706,0.5679683151521577,0.567732058922197,0.00010370954274743019,0.5675196675812662,0.5680143037639078,20
240,immediately,0.6,0.6,160001,0.5676974298165058,0.00012525417047007563,0.5675082288178878,0.5679097502395855,0.5677279506041282,9.993842678023387e-05,0.5675215257942919,0.5680040772239816,20
240,immediately,0.6,0.6,170001,0.5676654596303539,0.0001264480650731453,0.5674821299815737,0.5679080395261671,0.5677217124625313,9.789729877254753e-05,0.5675213980669618,0.5679899304094739,20
240,immediately,0.6,0.6,180001,0.5676603386832249,0.00010846073465139881,0.5675227454495964,0.5678742691288436,0.5677160288691399,9.486951321859768e-05,0.5675241480670393,0.5679712095735467,20
240,immediately,0.6,0.6,190001,0.5676698963784658,0.00010814583470946072,0.5675251850421061,0.5678434912029552,0.5677109607407347,9.33427386204813e-05,0.5675242860524898,0.5679545815262351,20
240,immediately,0.6,0.6,200001,0.5676641326352697,0.0001105734921264847,0.5675338224819833,0.567844275164603,0.5677066525159857,9.127036348037572e-05,0.5675273514449042,0.5679387618051934,20
240,immediately,0.6,0.6,210001,0.5676842078237642,0.00010122099526487127,0.5675344798075797,0.5679048736823318,0.5677036220019758,9.006669778241558e-05,0.5675293969300731,0.5679263359708556,20
240,immediately,0.6,0.6,220001,0.5676965004550031,8.701272267346785e-05,0.5675423978041368,0.5678466064006346,0.5677018958180666,8.905668399459322e-05,0.5675307871173707,0.567918760364249,20
240,immediately,0.6,0.6,230001,0.567696684378691,9.387170527172891e-05,0.5675622321056221,0.5679079104289662,0.5677017942408086,8.75520358565603e-05,0.5675380769732397,0.5679153789767879,20
240,immediately,0.6,0.6,240001,0.5677121786673073,8.225666312615163e-05,0.5675924955124906,0.5678807960078146,0.5677017484186193,8.551858561134086e-05,0.5675478862660293,0.5679126925589151,20
240,immediately,0.6,0.6,250001,0.5677142549565625,8.502221965197853e-05,0.5675773850830665,0.5678468243104096,0.5677024515574456,8.380999555472003e-05,0.5675545781997606,0.5679066295266446,20
240,immediately,0.6,0.6,260001,0.5677366049982483,8.646602567660527e-05,0.5675977173927281,0.5678931898947436,0.567704073031,8.203184809195609e-05,0.567557607837111,0.5678992187889575,20
240,immediately,0.6,0.6,270001,0.5677515299035983,8.50160721317295e-05,0.5675942711030418,0.567928561862967,0.5677068966546446,8.047390696651662e-05,0.5675611775079018,0.5678917896152417,20
240,immediately,0.6,0.6,280001,0.567760731143917,9.783860442557408e-05,0.5675987415569989,0.5679487387526267,0.5677103416018748,7.917568887759456e-05,0.567565574438547,0.5678891922229493,20
240,immediately,0.6,0.6,290001,0.5677675178877706,0.0001037442347318569,0.5676180869901079,0.5679801325151836,0.5677137954231898,7.906021722813605e-05,0.5675681514787628,0.5678899507253186,20
240,immediately,0.6,0.6,300001,0.567757391708566,0.00010181597000553623,0.5675999871344432,0.5679212636584609,0.5677168145154794,7.934094357929296e-05,0.5675704475937372,0.5678924079358537,20
240,immediately,0.6,0.6,310001,0.5677577117810829,0.00010306545975806264,0.5675553456217823,0.567976836391441,0.5677195389210035,7.942349005706378e-05,0.5675730717046438,0.5678927749833812,20
240,immediately,0.6,0.6,320001,0.5677679321285561,9.77938578099014e-05,0.5675742307915153,0.5679301495426402,0.5677221461547083,7.914665074015315e-05,0.5675780221130079,0.5678921533926685,20
240,immediately,0.6,0.6,330001,0.5677701240593056,8.782928441859972e-05,0.5676176814092012,0.5678876021907775,0.5677250254288806,7.894295886639933e-05,0.5675825822899484,0.5678928721754986,20
240,immediately,0.6,0.6,340001,0.5677638953309968,9.236666958695945e-05,0.5675897206465161,0.5679259738509833,0.5677274202890314,7.86087167253327e-05,0.5675848032430094,0.567891616113879,20
240,immediately,0.6,0.6,350001,0.5677697169285028,8.802138824093955e-05,0.5676250312192875,0.5679578565656281,0.5677297672229595,7.809951787307457e-05,0.5675859312077159,0.5678902350225578,20
240,immediately,0.6,0.6,360001,0.5677533523321532,8.572281747712792e-05,0.5675626248437237,0.5679297283568103,0.567731446050036,7.761839486678002e-05,0.5675858032682246,0.56788773019522,20
240,immediately,0.6,0.6,370001,0.5677434318888095,7.529355442928177e-05,0.567604882616048,0.5679127115405179,0.5677322777166595,7.696003834838211e-05,0.5675857987451299,0.5678850063149727,20
240,immediately,0.6,0.6,380001,0.5677581569974705,8.243579836201409e-05,0.5676290942007878,0.5679285607532506,0.5677330960879376,7.598804313145119e-05,0.5675874946964412,0.5678825054513746,20
240,immediately,0.6,0.6,390001,0.567755430717513,8.65188329174556e-05,0.5676281065430373,0.5679196138544848,0.5677343732560851,7.52479894147753e-05,0.5675892938664873,0.5678789272649352,20
240,immediately,0.6,0.6,400001,0.5677606995712883,9.534698969049228e-05,0.567633075328978,0.5679159524352648,0.5677354923520178,7.453181010655403e-05,0.56759171706287,0.5678754742594576,20
240,immediately,0.6,0.6,410001,0.5677643313217708,8.982323291247656e-05,0.5675982484791403,0.5679161406914154,0.5677366140303194,7.36846266717401e-05,0.5675947892887958,0.5678701524873889,20
240,immediately,0.6,0.6,420001,0.5677601283595151,8.603474352663056e-05,0.5676359101839947,0.5679114565046215,0.5677378941024744,7.307819406780846e-05,0.5675985138062039,0.5678670602923734,20
240,immediately,0.6,0.6,430001,0.5677649056270196,8.664417814071982e-05,0.5676273627434026,0.5679274921172728,0.5677390984753317,7.26145778481399e-05,0.5676027624106367,0.567865145516515,20
240,immediately,0.6,0.6,440001,0.5677640949692444,9.314300132559398e-05,0.5676221330847269,0.5679044373886781,0.5677402374687823,7.214675344040587e-05,0.567607094837842,0.5678624532836054,20
