r,simulation_fullness,theoretical_fullness
1,0.6927656938896243,0.6910681874667137
2,0.6900485479546512,0.6889978744016609
3,0.6868116405437218,0.6869362400091408
4,0.6846114346372187,0.6848832820313455
5,0.6830795881308471,0.6828389973106108
6,0.6809534562528423,0.680803381792694
7,0.6865861499381457,
8,0.6770766808322989,0.6767581376913969
9,0.6833874306013211,
10,0.672923584174474,0.6727474995428286
11,0.6765679682765755,0.6765270378844296
12,0.6684080172236595,0.6687714031754282
13,0.6869104168674918,
14,0.69939318373363,0.6994468154394629
15,0.6628944008640614,0.6628718503718511
16,0.6898560979642473,
17,0.6776353412206346,
18,0.6915348806053438,0.6916404428904435
19,0.674728980697626,
20,0.6532699922891976,0.6532106782106784
21,0.685803540401654,0.6858712121212123
22,0.6848501068702187,
23,0.6842770177027127,
24,0.6452813985626219,0.6456349206349206
25,0.6723693449776176,0.6725363756613756
26,0.6993938160303494,0.6994378306878306
27,0.6830443001012013,
28,0.6716677042919956,
29,0.6675703325946105,
30,0.6345960506678596,0.6345238095238095
31,0.6557518436322359,0.6556746031746032
32,0.6768152475782537,0.6768253968253968
33,0.698133305371773,0.6979761904761905
34,0.7192629779984252,0.7191269841269841
35,0.6716270157761064,
36,0.6566225356784073,
37,0.6748675215945863,
38,0.6706986726129799,
39,0.6648326166056647,
40,0.6166202365163145,0.6166666666666665
41,0.6322826341846621,0.6320833333333331
42,0.6477901495271056,0.6474999999999999
43,0.6630017122751133,0.6629166666666665
44,0.678470338516753,0.6783333333333331
45,0.6940034284800886,0.6937499999999998
46,0.7093112086413684,0.7091666666666664
47,0.7246648115268371,0.7245833333333331
48,0.7007823598554209,
49,0.6822106620133562,
50,0.6722311825704756,
51,0.6666877654723403,
52,0.650076791646512,
53,0.6625797430781373,
54,0.6750011945385778,
55,0.6875359953345339,
56,0.6463290394812778,
57,0.6575335216990073,
58,0.6458391002872012,
59,0.6381636615167218,
60,0.5834539917680379,0.583333333333333
61,0.5932002038557652,0.5930555555555552
62,0.602845787960485,0.6027777777777775
63,0.6126200401676453,0.6124999999999997
64,0.6224200000756024,0.6222222222222219
65,0.6321254264476233,0.6319444444444441
66,0.641863518657714,0.6416666666666664
67,0.6515763363877646,0.6513888888888886
68,0.6613270127632493,0.6611111111111108
69,0.6710622424974004,0.670833333333333
70,0.6808360686467141,0.6805555555555552
71,0.6905033468840089,0.6902777777777774
72,0.7002774344905941,0.6999999999999996
73,0.7102123127305764,0.7097222222222218
74,0.719793129060901,0.7194444444444441
75,0.7293909284537323,0.7291666666666663
76,0.7390953818902064,0.7388888888888885
77,0.7489395267392022,0.7486111111111108
78,0.7586670461281846,0.758333333333333
79,0.7684074275576549,0.7680555555555552
80,0.7180975624211273,
81,0.688147838551197,
82,0.6727965729180063,
83,0.6807703365109753,
84,0.6501185837220458,
85,0.6577399568959279,
86,0.6656239054963863,
87,0.6729633581253648,
88,0.6804953498530788,
89,0.6546800459697774,
90,0.6133133575442403,
91,0.6200860823091354,
92,0.6268493713471813,
93,0.633561427960122,
94,0.6403487921945248,
95,0.647223988756695,
96,0.6544226118926291,
97,0.6608705689229758,
98,0.6679098340151755,
99,0.6746712388618057,
100,0.6813800998270888,
101,0.688092660278364,
102,0.6950259915430668,
103,0.654312861312943,
104,0.6481873368241311,
105,0.6160012506990555,
106,0.621910128845653,
107,0.6278737550492237,
108,0.6335913731300118,
109,0.6391874672423492,
110,0.6452268789513921,
111,0.6509299449034364,
112,0.6288881126394008,
113,0.6106661236794522,
114,0.615802683573012,
115,0.6216736226624299,
116,0.6065589875327281,
117,0.6004404132691566,
118,0.5889134655623387,
119,0.5763961451799997,
120,0.5,0.5
