B,r,alpha,p,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,1,0.004166666666666667,0.11,0.3440402392238806,0.0017137260340559768,0.340901343151292,0.3461405330564209,0.338422417930513,0.0013894570183468518,0.33632232561958786,0.3405418496776985,8
240,1,0.004166666666666667,0.12,0.36249396271471096,0.001781290938750083,0.36020459621064765,0.36421911421911424,0.35833261013555995,0.0015242279237226179,0.35604097994944783,0.36054462490281547,8
240,1,0.004166666666666667,0.13,0.38580859561405306,0.0016445531460957783,0.38375930616317444,0.3885003885003885,0.38482960064269855,0.0015342192951365433,0.38324042326761626,0.38807987154010903,8
240,1,0.004166666666666667,0.14,0.4018038886876645,0.0027012797180345272,0.39720368605020656,0.40462895524803755,0.4011006367063613,0.0010047182074989418,0.3995352540832383,0.40213218363321707,8
240,1,0.004166666666666667,0.15,0.42042776557226214,0.0013076312295024145,0.4186552792430713,0.4221546774738264,0.42167194916939627,0.0009420895741261418,0.42006194854820067,0.42281900554315305,8
240,1,0.004166666666666667,0.16,0.4338531198127149,0.002104652699430469,0.4307745326096321,0.43641441913240814,0.4352752729050984,0.0011538329204722453,0.43357582240605974,0.43677453277284767,8
240,1,0.004166666666666667,0.16999999999999998,0.44705827301932877,0.001751634687881766,0.4436163605713779,0.4493574188909859,0.4486062568453951,0.0010855382780798983,0.44741971367376315,0.4506010957628771,8
240,1,0.004166666666666667,0.18,0.46792591173541176,0.00201220049169608,0.46541934282788794,0.4709428275407366,0.4680075585570095,0.0007414962151723926,0.4668948170500111,0.46898600885135155,8
240,1,0.004166666666666667,0.19,0.48086851774925565,0.0019363182501586657,0.47865211564235116,0.48351223285949135,0.48041568024062076,0.0010404374512149649,0.4792082001365491,0.4822227968760482,8
240,1,0.004166666666666667,0.2,0.4980551390083162,0.0014653828070667694,0.49603174603174605,0.5009518084360285,0.49828594122792924,0.000794694263763213,0.49731099173465776,0.49968081968076333,8
240,1,0.004166666666666667,0.21000000000000002,0.5100965473707136,0.0013391763658677264,0.5085952598921778,0.5120327700972862,0.5096791976326618,0.00044575018726221845,0.5091357865026774,0.5103607942928512,8
