B,r,alpha,p,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,1,0.004166666666666667,0.11,0.34440933474509416,0.0019482185113006926,0.340901343151292,0.34816516955643756,0.338996997974957,0.0015128720612010247,0.3368976970032531,0.34160455225132863,20
240,1,0.004166666666666667,0.12,0.3625966340959397,0.0019331845760052196,0.35896331394931436,0.36646144825564353,0.3585456410862532,0.0011796472637711464,0.3567712255409952,0.36014755554203326,20
240,1,0.004166666666666667,0.13,0.3873767454041393,0.0023903647258161757,0.3818251240931653,0.39032006245121,0.3853387284081932,0.001181946342210279,0.38219559963383964,0.3869504699347122,20
240,1,0.004166666666666667,0.14,0.40053460011882674,0.001959949008066474,0.39701445132602825,0.4047272138578598,0.40055964856122844,0.0012150327227616416,0.3980376187844128,0.40235443951698957,20
240,1,0.004166666666666667,0.15,0.4205360132728215,0.0015927588137136983,0.418025248725023,0.4243041412084182,0.4217505882854849,0.0009269055719838826,0.41996057140319076,0.42310868926559414,20
240,1,0.004166666666666667,0.16,0.43398951282442055,0.0023922825702417717,0.42735042735042733,0.43779003589878296,0.43510020075966727,0.0011459253118472818,0.4330002048956177,0.43716746797601985,20
240,1,0.004166666666666667,0.16999999999999998,0.44704801366449337,0.0014971438110056685,0.4449190247374978,0.4499640028797696,0.4484025781993359,0.0007790373525384613,0.44664024986461665,0.4500776800178195,20
240,1,0.004166666666666667,0.18,0.4675572830847087,0.0021928612655582247,0.464123271140815,0.47241118669690096,0.46742758781782845,0.0011122619442611341,0.46572770978961947,0.46925949590414584,20
240,1,0.004166666666666667,0.19,0.4805603703941063,0.0013682969327280684,0.47865211564235116,0.4836525440123815,0.4803821881994462,0.0007568937116721188,0.4792070958006948,0.4821559488409189,20
240,1,0.004166666666666667,0.2,0.49852690023821766,0.00115294134310646,0.49662296384584825,0.500801282051282,0.498317125986577,0.0007326963114879653,0.4970216338836117,0.4998104178841581,20
240,1,0.004166666666666667,0.21000000000000002,0.5097431074088978,0.0015624710302078828,0.5061241016297197,0.513136288998358,0.5095115527901394,0.001007239710698486,0.5082977292504303,0.5115584375621836,20
240,1,0.004166666666666667,0.22,0.520382458154936,0.001561106023785832,0.5166356685265551,0.5231219920485457,0.5205829205521707,0.0006526945100292275,0.5196572633823463,0.5221057156498493,20
240,1,0.004166666666666667,0.22999999999999998,0.5359281572308899,0.0017187042067736765,0.5318017443097214,0.5385029617662898,0.5360402612952366,0.000704013686166128,0.5347745921771694,0.5374267222981688,20
240,1,0.004166666666666667,0.24,0.5458627176089952,0.0017327035567371305,0.5430650591940914,0.5480653293872629,0.5461096554493703,0.0005242592658347544,0.5453891490959466,0.5472016441083188,20
240,1,0.004166666666666667,0.25,0.5603494726653102,0.0027031809340486612,0.5557408024897188,0.5651633322030066,0.5601297926810924,0.000582892015772776,0.5591833885148101,0.5612072463455207,20
240,1,0.004166666666666667,0.26,0.5684938553362823,0.0017595600521114795,0.5647803004631199,0.5707762557077626,0.5692245830072121,0.000574349846088659,0.5680925717074788,0.5704355502523132,20
240,1,0.004166666666666667,0.27,0.5778663774203162,0.001810291958566489,0.573921028466483,0.5811250581125058,0.5778296583479972,0.00056889822571351,0.5769879551728677,0.5789710982235208,20
240,1,0.004166666666666667,0.28,0.5894965936254579,0.0019366783348745329,0.5862351975612615,0.5939653124257543,0.5901806473148772,0.0004213213219226032,0.5894128677005481,0.5908636283100241,20
240,1,0.004166666666666667,0.29,0.5979212358734305,0.001415515064137935,0.5948132286462051,0.6001680470531748,0.5977359932324313,0.0004553538507064437,0.5969898306564791,0.5988010896830437,20
240,1,0.004166666666666667,0.3,0.608459722342561,0.0024744133785529966,0.6032090722644469,0.6127450980392157,0.6087065021883659,0.0004967751465492362,0.6075313208329058,0.6093922314839636,20
240,1,0.004166666666666667,0.31,0.6147463955030903,0.002837104298645126,0.60960741282614,0.6191183754333829,0.6156108202582926,0.0005668166391167021,0.6145598627939047,0.6165191639315001,20
240,1,0.004166666666666667,0.32,0.621957575252418,0.002429347453747143,0.6175126590095097,0.6260956674179815,0.622161685553676,0.0006160220081246571,0.6211577625616661,0.6232057534445647,20
240,1,0.004166666666666667,0.33,0.6320625149081185,0.0021909139015565595,0.6291682395872656,0.6366182836771072,0.6315155383331541,0.0004651057774143953,0.6306719259023893,0.6321629129871819,20
240,1,0.004166666666666667,0.34,0.6369660309525962,0.0021843083968214392,0.6308352258390109,0.6417661404184315,0.6375033760299477,0.0005206376170659278,0.6366638118350717,0.6387389355578812,20
240,1,0.004166666666666667,0.35,0.6453045312026633,0.002610126838932233,0.6412722842118763,0.6507874528179096,0.6455498800166724,0.0005336093553410068,0.6443129845639528,0.6464597720134341,20
240,1,0.004166666666666667,0.36,0.6508698965291227,0.002062013872253261,0.6480041472265422,0.6546216286986122,0.650440547404939,0.0005505135315261434,0.6495750959662796,0.6517315112905382,20
240,1,0.004166666666666667,0.37,0.655688057405494,0.0026970309441934934,0.6502796202367018,0.6603275224511358,0.6548192265644177,0.0006249086992800801,0.6538293813035557,0.65606207948289,20
240,1,0.004166666666666667,0.38,0.6621228467367165,0.0028261279613289014,0.6546216286986122,0.666400106624017,0.6613727690049889,0.00064869757762508,0.6603025898120719,0.6625332539350166,20
240,1,0.004166666666666667,0.39,0.6664557817475106,0.0033176137744629058,0.6603275224511358,0.6731287022078621,0.6653937463650205,0.0007239878895903126,0.6642486746860544,0.6665689212444189,20
240,1,0.004166666666666667,0.39999999999999997,0.6685228814586446,0.0027979362274210993,0.6634819532908705,0.6734006734006734,0.6690167317489266,0.0006874245286199188,0.668067080076365,0.6704403069303183,20
240,1,0.004166666666666667,0.41,0.6745792278470565,0.0021587737343106974,0.6701514542286556,0.6788866259334692,0.674255236187079,0.00039474270603627915,0.6735089754141013,0.6749570078771673,20
240,1,0.004166666666666667,0.42,0.6778201009743222,0.0027008718913253413,0.6725854183481302,0.6822213125938055,0.6771993058264921,0.00045176805495914863,0.6765181109469921,0.6780971977834908,20
240,1,0.004166666666666667,0.43,0.6807217882293534,0.0019158260161820867,0.6764069264069265,0.683900971139379,0.6809840008591964,0.00045117318393418133,0.6797430522762851,0.681596500391323,20
240,1,0.004166666666666667,0.44,0.6839981654995719,0.0030613205735128502,0.6797172376291463,0.6904170118751726,0.6832401703424164,0.0005037364197760242,0.6821585830612796,0.684087307269854,20
240,1,0.004166666666666667,0.45,0.6868627888769832,0.003463539871766734,0.6805498843065196,0.6947339169098236,0.6862395546699991,0.0005908638069633978,0.6853231558493755,0.6875181957681099,20
240,1,0.004166666666666667,0.46,0.6900665692357227,0.003917813296530595,0.6822213125938055,0.6979341150195422,0.6880491094044732,0.0006258561061988786,0.6870423162684479,0.6895392169356962,20
240,1,0.004166666666666667,0.47,0.6942771865424434,0.00505478368173023,0.6805498843065196,0.7011639321273314,0.6892124378658443,0.0008005684835267111,0.6874388712408992,0.6902933827554548,20
240,1,0.004166666666666667,0.48,0.7048089482181551,0.0087097929431024,0.6870019236053861,0.7196315486470927,0.6908991958337964,0.0012022423481032806,0.6883729357561126,0.6929609746226711,20
240,1,0.004166666666666667,0.49,0.7158035515932878,0.01030560759097962,0.6884207627702051,0.7293946024799417,0.6919443020212042,0.0014114421670808229,0.6900121681133605,0.6947943868949661,20
240,1,0.004166666666666667,0.5,0.7236244577360696,0.011828422893872736,0.7050197405527355,0.7473841554559043,0.6927656938896243,0.0018154982081876301,0.6897284123502643,0.6961965972012977,20
240,1,0.004166666666666667,0.51,0.7203288956647348,0.011212838118674795,0.6889899407468651,0.7361601884570083,0.6916956646113638,0.0013731535343955118,0.6870511583726054,0.6935754341666287,20
240,1,0.004166666666666667,0.52,0.7125245109302262,0.005843953987713638,0.7014590347923682,0.725268349289237,0.69174793743295,0.001184743116998146,0.6896591814639363,0.6941009651024308,20
240,1,0.004166666666666667,0.53,0.695591033409348,0.006613018237651645,0.6802721088435374,0.7086167800453514,0.6897727036962158,0.0009473361130553923,0.6876650964155389,0.6915975148858196,20
240,1,0.004166666666666667,0.54,0.6912447119510476,0.004343241095298413,0.6836204539239814,0.6982265046781175,0.6883451478167305,0.0008554082635611412,0.6867990522787418,0.6907774700468551,20
240,1,0.004166666666666667,0.55,0.6871556668376463,0.0029631479385346144,0.6827802813054759,0.693000693000693,0.6860253009528385,0.0005798188759332778,0.684893581665701,0.6871027144675876,20
240,1,0.004166666666666667,0.56,0.6848398354142604,0.0028854706840999965,0.6811061163329246,0.6907031357922365,0.6843724528628071,0.0005316203918700476,0.6836062420717426,0.6854102233811584,20
240,1,0.004166666666666667,0.5700000000000001,0.6828976321506913,0.0019803209527074054,0.6797172376291463,0.6872852233676976,0.6821451919167554,0.0004526308975765772,0.6813217895009146,0.682913406422313,20
240,1,0.004166666666666667,0.5800000000000001,0.6791174931480766,0.0026172245610356776,0.6736728644570197,0.6853070175438597,0.6785964850147483,0.00041978893023661,0.6778562848854518,0.6796766871992946,20
240,1,0.004166666666666667,0.59,0.6753910685769304,0.0029239861933603255,0.670690811535882,0.6819421713038735,0.6757680795907602,0.0003478501280374885,0.6750995271090857,0.6765516405508847,20
240,1,0.004166666666666667,0.6,0.6717730868370033,0.0032013521535931093,0.666400106624017,0.676956404007582,0.6707904087477672,0.0005203687593228821,0.6699517709826298,0.6714809365850167,20
240,1,0.004166666666666667,0.61,0.6664204519869138,0.003776538012641326,0.6585012511523772,0.6720430107526881,0.6671474775388233,0.0005815862926815445,0.6661922656783569,0.6686184741154686,20
240,1,0.004166666666666667,0.62,0.6639897995160493,0.0036312189502344743,0.6582411795681938,0.6712310377231843,0.66310048507463,0.0008059018704483333,0.6619060792742265,0.6651966814639165,20
240,1,0.004166666666666667,0.63,0.6570362863204753,0.003186297428105748,0.6495193556767992,0.6624271330153683,0.6570483488697236,0.0007480442138300148,0.6556183437706824,0.6586390972569147,20
240,1,0.004166666666666667,0.64,0.6526910211808612,0.0018316967077486857,0.648508430609598,0.655393891728929,0.6527069969464769,0.0005775523722520141,0.6515890395431309,0.6535481618412115,20
240,1,0.004166666666666667,0.65,0.645787143798346,0.0018574263324576303,0.6430041152263375,0.6500260010400416,0.6453610125334756,0.0005168243154371045,0.6445627184426052,0.6465627620793173,20
240,1,0.004166666666666667,0.66,0.6407621488611541,0.0022666470358444954,0.6373486297004461,0.6462453147214683,0.6399414336850587,0.0005606404568886113,0.6386671253766867,0.6408102972636049,20
240,1,0.004166666666666667,0.67,0.6345651948705469,0.0021867528067609104,0.6296436217101121,0.6380806533945891,0.6346129056039003,0.0005612963559071595,0.6333220189370866,0.6355460027552617,20
