B,r,alpha,p,fullness_mean,fullness_std,fullness_min,fullness_max,time_avg_fullness_mean,time_avg_fullness_std,time_avg_fullness_min,time_avg_fullness_max,n_seeds
240,1,0.004166666666666667,0.11,0.3444033298803792,0.0020520598713100703,0.34125034125034126,0.3488940060009769,0.3390561792180917,0.0015242301309232442,0.3367001169955571,0.34160455225132863,20
240,1,0.004166666666666667,0.12,0.3632885467973173,0.0019739235500052894,0.359505320678746,0.3671880737313652,0.35852109578950647,0.001263842747337685,0.3567712255409952,0.36132268310938603,20
240,1,0.004166666666666667,0.13,0.38683368476684643,0.002464200797947309,0.3818251240931653,0.3918802413982287,0.3851898718161585,0.0013667775658049068,0.38219559963383964,0.3871185011775972,20
240,1,0.004166666666666667,0.14,0.40045148859968827,0.0018103488025115063,0.3962593120938342,0.4035512510088781,0.4002928186502615,0.0010014863076251931,0.39860934428459227,0.4020132819855273,20
240,1,0.004166666666666667,0.15,0.4205997727529366,0.0016037813449021742,0.41708375041708373,0.42365700728690053,0.4219102367146408,0.0011950829420933709,0.41996057140319076,0.4242279769248251,20
240,1,0.004166666666666667,0.16,0.4336446706824904,0.0017220333326047874,0.4311088118641145,0.4369865408145429,0.43499168444190384,0.0011276051606404329,0.4329654405307848,0.4375031551554913,20
240,1,0.004166666666666667,0.16999999999999998,0.4474497131320338,0.0014403254722066216,0.44551367726989216,0.44959985612804604,0.4485168441907933,0.0009115456245440687,0.4468500467199547,0.44996119852547706,20
240,1,0.004166666666666667,0.18,0.46688797246970043,0.0020335627600296564,0.46360686138154844,0.47054394880481837,0.46749798602550097,0.0009184621134181923,0.46610459589560616,0.46947218042768324,20
240,1,0.004166666666666667,0.19,0.48055638915833754,0.001830704871159091,0.4760544606302961,0.4840739665020815,0.48009064283412706,0.0008914968955253481,0.4790258477303785,0.4819191142407426,20
240,1,0.004166666666666667,0.2,0.4990006073363508,0.0017879953098053178,0.49558925562493805,0.5024620641141594,0.4981116715619828,0.0008234265803370212,0.4963270347674263,0.4993912667893108,20
240,1,0.004166666666666667,0.21000000000000002,0.5099553263103058,0.0018275852859916209,0.5068937550689375,0.5134524543027316,0.5096505224516868,0.0009347183148211733,0.5080332152525352,0.5112193008969925,20
240,1,0.004166666666666667,0.22,0.5211552651353639,0.0015460041238336373,0.5184033177812338,0.5241090146750524,0.5208267903579022,0.0007416865565660583,0.5198130541312536,0.5223613310847531,20
240,1,0.004166666666666667,0.22999999999999998,0.5360587469896492,0.0019236456214964772,0.5331627212625293,0.5393743257820928,0.5361943865785606,0.0006680708977606422,0.5353196060706354,0.5374088283432503,20
240,1,0.004166666666666667,0.24,0.5459589736392607,0.0013441025657413602,0.5434191935659167,0.5491488193300385,0.5458723528809011,0.0006915114839971344,0.5446529871038505,0.5471841577204839,20
240,1,0.004166666666666667,0.25,0.5594096630753977,0.0014422962165867026,0.5572272372673577,0.5626828719333784,0.560331825289506,0.0004899245591826128,0.5596199390977775,0.5613743508246747,20
240,1,0.004166666666666667,0.26,0.5699542878591061,0.0021332312852709676,0.5668934240362812,0.573921028466483,0.569122242417861,0.0005573937794588141,0.5680714331408214,0.5701237058507868,20
240,1,0.004166666666666667,0.27,0.5779574822769461,0.00196112674300291,0.574514535217741,0.5819366852886406,0.5780428579607794,0.0005951644594581214,0.5769113108463074,0.5792086195109086,20
240,1,0.004166666666666667,0.28,0.5901531429755296,0.001773716469999605,0.5862351975612615,0.5926979611190137,0.5900200941427203,0.0004808940495205784,0.5892868527324527,0.5910236836942109,20
240,1,0.004166666666666667,0.29,0.597355272210941,0.0017938563905234854,0.5941770647653001,0.6010337780983291,0.5978579799864756,0.0005262111805365013,0.5970476237183963,0.599040934506889,20
